web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Osula,SHU,FWD,0.0,4.4,0.8,0,4,2.5,1.0,6.0,21.0,831,10882,0,0,0,3,0,0,0,0,0,0.0,2,0,3,233,0.29,0.06,0.35,6.06,25.0,25.0,Doubtful,0,0,-0.1,-0.1,2,0,0
Robinson,SHU,DEF,0.3,4.5,0.1,1,6,20.5,141.6,35.8,27.0,281,237,0,0,1,19,0,0,0,0,0,0.0,2,0,7,619,0.5,0.11,0.61,17.22,0.0,0.0,Available,0,0,-0.2,-0.2,2,0,1
Slimane,SHU,MID,0.3,4.800000000000001,0.0,1,1,2.1,3.4,6.5,12.0,14,62,0,0,0,3,0,0,0,0,0,0.0,2,0,0,45,0.12,0.08,0.2,2.17,100.0,100.0,Available,0,0,-0.2,-0.2,2,0,0
Larouci,SHU,DEF,0.0,4.4,0.1,0,4,6.6,34.6,2.5,29.0,31,126,0,0,0,5,0,0,0,0,0,0.0,0,0,1,195,0.17,0.02,0.19,6.51,0.0,0.0,Available,0,0,-0.5,-0.5,2,0,0
T.Bénie,SHU,FWD,0.3,5.300000000000001,0.0,0,8,9.0,20.4,42.0,29.0,90,231,0,0,0,9,0,0,0,0,0,0.0,0,0,3,317,0.27,0.4,0.67,9.48,0.0,0.0,Available,0,0,-0.2,-0.2,2,0,0
Vini Souza,SHU,MID,2.0,5.0,0.0,2,11,16.1,103.6,21.8,36.0,105,49,0,0,0,17,0,0,0,0,0,0.0,1,0,6,517,0.16,0.05,0.21,15.09,100.0,100.0,Available,0,0,1.5,1.5,2,0,0
Seriki,SHU,DEF,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,132,162,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-0.5,-0.5,2,0,0
Marsh,SHU,FWD,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,2,0,0
Brooks,SHU,MID,0.0,4.5,0.0,0,2,0.6,2.8,1.0,2.0,159,158,0,0,0,1,0,0,0,0,0,0.0,0,0,0,19,0.0,0.01,0.01,0.12,0.0,0.0,Available,0,0,-0.5,-0.5,2,0,0
Hackford,SHU,FWD,0.0,4.5,0.1,0,2,0.0,0.0,0.3,0.0,269,385,0,0,0,1,0,0,0,0,0,0.0,0,0,0,11,0.0,0.0,0.0,0.12,0.0,0.0,Available,0,0,-0.5,-0.5,2,0,0
Hamer,SHU,MID,4.7,5.0,0.3,2,24,36.3,126.2,159.2,78.0,3936,2231,2,2,0,13,1,0,0,0,0,0.0,1,0,6,493,0.65,0.67,1.32,12.91,100.0,75.0,Available,0,1,3.2,4.2,2,0,2
T.Davies,SHU,MID,0.7,5.0,0.0,1,2,2.8,6.4,13.0,8.0,23,13,0,0,0,5,0,0,0,0,0,0.0,1,0,0,57,0.09,0.04,0.13,2.51,100.0,100.0,Available,0,0,0.2,0.2,2,0,0
Thomas,SHU,DEF,0.0,4.0,0.1,1,1,13.3,54.6,29.0,49.0,445,287,0,0,0,12,0,0,0,0,0,0.0,0,0,3,292,0.49,0.06,0.55,8.05,0.0,0.0,Available,0,0,-0.5,-0.5,2,0,0
Johnson,TOT,MID,1.0,5.800000000000001,0.3,0,9,12.9,23.2,31.3,76.0,81,4009,0,0,0,7,0,0,0,0,0,0.0,0,0,4,310,0.96,0.08,1.04,4.86,0.0,0.0,Injured,0,0,0.0,0.0,4,0,0
Austin,TOT,GKP,0.0,4.0,0.2,0,0,0.0,0.0,0.0,0.0,179,592,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-0.5,0.5,4,1,0
Bentancur,TOT,MID,0.0,5.4,0.0,0,0,0.0,0.0,0.0,0.0,20,21,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,4,0,0
Bissouma,TOT,MID,1.0,5.0,0.6,1,12,35.6,159.4,101.9,95.0,5206,3723,0,0,0,8,2,0,0,0,0,0.0,4,0,7,612,0.58,0.6,1.18,9.9,0.0,0.0,Available,0,0,0.5,1.5,4,0,0
Bryan,TOT,MID,0.0,4.9,0.0,0,0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,4,0,0
Davies,TOT,DEF,0.3,4.3,0.5,1,6,2.7,12.6,5.1,10.0,810,1558,0,0,1,0,0,0,0,0,0,0.0,0,0,0,35,0.56,0.02,0.58,0.47,0.0,0.0,Available,0,0,-0.2,0.8,4,0,1
